Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
dec,,wednesday,honda,urban,tuesday,jan,1.0,,single,21.0,policy holder,,sport,more than 69000,1.0,12.0,300.0,1.0,more than 30,,none,3 years,26 to 30,no,no,external,,1 year,3 to 4,2019.0,liability,0
Jan,3.0,Wednesday,Honda,Urban,Monday,,4.0,Male,Single,34.0,Policy Holder,Sport - Collision,Sport,more than 69000,2.0,15.0,400.0,,more than 30,more than 30,,6 years,31 to 35,Yes,,External,none,no change,1 vehicle,2019.0,Collision,1
Oct,5.0,Friday,Honda,Urban,Thursday,Nov,2.0,Male,Married,,Policy Holder,Sport - Collision,Sport,more than 69000,,7.0,400.0,3.0,more than 30,,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Collision,2
Jun,2.0,Saturday,Toyota,Rural,Friday,Jul,1.0,Male,,65.0,Third Party,Sedan - Liability,,20000 to 29000,4.0,4.0,,,more than 30,more than 30,1,more than 7,51 to 65,Yes,,External,more than 5,no change,1 vehicle,2019.0,Liability,3
jan,5.0,monday,honda,urban,tuesday,,,,,,third party,sport - collision,sport,more than 69000,5.0,3.0,400.0,1.0,more than 30,more than 30,none,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,4
Oct,4.0,Friday,Honda,Urban,Wednesday,Nov,1.0,Male,Single,20.0,Third Party,Sport - Collision,Sport,more than 69000,6.0,12.0,400.0,3.0,more than 30,,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,2019.0,,5
feb,1.0,saturday,honda,urban,monday,feb,3.0,male,married,,third party,sport - collision,sport,more than 69000,7.0,14.0,400.0,1.0,more than 30,more than 30,1,7 years,36 to 40,,no,external,1 to 2,no change,1 vehicle,2019.0,,6
Nov,,Friday,Honda,Urban,Tuesday,Mar,4.0,,Single,0.0,,Sport - Collision,Sport,more than 69000,8.0,1.0,400.0,4.0,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,Collision,7
Dec,4.0,Saturday,Honda,Urban,Wednesday,Dec,,Male,Single,30.0,Policy Holder,Sport - Collision,Sport,more than 69000,9.0,7.0,400.0,4.0,more than 30,more than 30,none,,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,2019.0,Collision,8
Apr,3.0,Tuesday,Ford,Urban,Wednesday,Apr,3.0,,Married,,Policy Holder,Utility - All Perils,Utility,more than 69000,,7.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,2019.0,All Perils,9
